0.488,0.513,0.464,0.45,0.494,0.507,0.527,0.498,0.468,0.507
0.479,0.532,0.483,0.452,0.506,0.47,0.522,0.476,0.449,0.537
0.551,0.502,0.489,0.522,0.53,0.443,0.466,0.474,0.504,0.621
0.461,0.502,0.503,0.543,0.516,0.534,0.485,0.549,0.525,0.605
0.564,0.542,0.575,0.515,0.497,0.481,0.624,0.499,0.567,0.612
0.532,0.558,0.487,0.522,0.532,0.576,0.644,0.64,0.54,0.742
0.603,0.618,0.576,0.603,0.576,0.588,0.665,0.734,0.667,0.929
0.612,0.576,0.661,0.637,0.592,0.54,0.683,0.701,0.711,0.977
0.605,0.383,0.368,0.349,0.316,0.337,0.58,0.608,0.506,0.607
0.587,0.309,0.382,0.253,0.293,0.326,0.515,0.567,0.505,0.527
0.561,0.264,0.273,0.243,0.253,0.238,0.445,0.539,0.465,0.51
0.554,0.311,0.281,0.24,0.178,0.246,0.438,0.502,0.402,0.345
0.52,0.254,0.203,0.203,0.203,0.178,0.423,0.462,0.448,0.265
0.528,0.24,0.223,0.221,0.187,0.144,0.411,0.369,0.349,0.176
0.227,0.098,0.0848,0.0953,0.0915,0.0471,0.0372,0.212,0.211,0.0037
0.117,0.0315,0.0435,0.0421,0.0309,0.0274,0.018,0.0111,0.0917,0.0011
0.0085,0.0008,0.0012,0.0009,0.0008,0.0009,0.0003,0.0002,0.0003,0
0.109,0.087,0.07,0.0855,0.0964,0.102,0.0639,0.0431,0.053,0.0001
